[2019-09-02 11:59:20] [INFO   ] Connecting to the MongoDB database knowingipr 
[2019-09-02 11:59:21] [INFO   ] host: jdbc:mariadb://localhost/knowingipr_knowledge?usePipelineAuth=false
username: root
password: root
driver: org.mariadb.jdbc.Driver 
[2019-09-02 12:01:54] [INFO   ] Processing E:\BorutStorage\Springer LOD\articles\tmpDone\article_34.jsonl 
[2019-09-02 12:01:54] [FINER  ] Parsing file E:\BorutStorage\Springer LOD\articles\tmpDone\article_34.jsonl 
[2019-09-02 12:01:54] [FINER  ] Beginning insert 
[2019-09-02 12:01:54] [FINER  ] Inserting done 
[2019-09-02 12:01:54] [FINER  ] Parsing done 
[2019-09-02 12:01:54] [INFO   ] Processing E:\BorutStorage\Springer LOD\articles\tmpDone\article_35.jsonl 
[2019-09-02 12:01:54] [FINER  ] Parsing file E:\BorutStorage\Springer LOD\articles\tmpDone\article_35.jsonl 
[2019-09-02 12:01:54] [FINER  ] Beginning insert 
[2019-09-02 12:01:54] [FINER  ] Inserting done 
[2019-09-02 12:01:54] [FINER  ] Parsing done 
[2019-09-02 12:01:54] [INFO   ] Processing E:\BorutStorage\Springer LOD\articles\tmpDone\article_36.jsonl 
[2019-09-02 12:01:54] [FINER  ] Parsing file E:\BorutStorage\Springer LOD\articles\tmpDone\article_36.jsonl 
[2019-09-02 12:01:54] [FINER  ] Beginning insert 
[2019-09-02 12:01:54] [FINER  ] Inserting done 
[2019-09-02 12:01:54] [FINER  ] Parsing done 
[2019-09-02 12:01:54] [INFO   ] Processing E:\BorutStorage\Springer LOD\articles\tmpDone\article_37.jsonl 
[2019-09-02 12:01:54] [FINER  ] Parsing file E:\BorutStorage\Springer LOD\articles\tmpDone\article_37.jsonl 
[2019-09-02 12:01:54] [FINER  ] Beginning insert 
[2019-09-02 12:01:54] [FINER  ] Inserting done 
[2019-09-02 12:01:54] [FINER  ] Parsing done 
[2019-09-02 12:01:54] [INFO   ] Processing E:\BorutStorage\Springer LOD\articles\tmpDone\article_38.jsonl 
[2019-09-02 12:01:54] [FINER  ] Parsing file E:\BorutStorage\Springer LOD\articles\tmpDone\article_38.jsonl 
[2019-09-02 12:01:54] [FINER  ] Beginning insert 
[2019-09-02 12:01:54] [FINER  ] Inserting done 
[2019-09-02 12:01:54] [FINER  ] Parsing done 
[2019-09-02 12:01:54] [INFO   ] Processing E:\BorutStorage\Springer LOD\articles\tmpDone\article_39.jsonl 
[2019-09-02 12:01:54] [FINER  ] Parsing file E:\BorutStorage\Springer LOD\articles\tmpDone\article_39.jsonl 
